,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
120,2018-08-05 01:15:00,-397715048.41138333,-96901252.06002282,-31586886.343008164,-7301.566473345837,233345969.89428097
121,2018-08-05 01:30:00,-436317807.71104133,-97287869.6609857,-31374349.009157594,-6954.84397285549,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974485,-97565698.68139863,-31237750.836393163,-6210.9079466233125,168205484.66181296
123,2018-08-05 02:00:00,-489486776.5443454,-109802020.46809195,-24942277.629032787,-12614.11906347786,145035070.734005
124,2018-08-05 02:15:00,-505314761.64694065,-97918978.31996648,-31051878.775156196,-7073.509988621189,129671048.62957652
125,2018-08-05 02:30:00,-522139798.24681675,-98308021.65501374,-30849983.856333714,-6590.436500669912,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669575,-103537904.83804333,-28157570.137462433,-7435.571804175098,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557738,-98789289.42389016,-30598627.24189168,-4894.61798618789,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048533,-98917385.94630814,-30530034.51810131,-36.72305045908967,65886541.42220851
129,2018-08-05 03:45:00,-584913449.4702128,-99063111.35644455,-30454880.59915516,-5003.449065057103,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550805,-104080449.5284632,-27875749.14028454,-7784.203240653689,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019753,-99160165.31311081,-30457122.630660623,-4727.806493614057,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288069,-99277922.94232151,-30393207.443526957,-4583.034280014694,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575541,-104197160.85590634,-27865289.107319694,-5109.592891797602,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345146,-99207986.4590708,-30432200.817872953,-4475.963120746572,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616506,-99026536.96572521,-30526404.035560463,-4930.321062629192,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821422,-98967760.75274079,-30558304.46254668,-5114.223345484934,83970015.76313898
137,2018-08-05 06:00:00,-535793607.40237147,-103846087.7544122,-28051237.86298446,-7095.256808040503,101099044.56227066
138,2018-08-05 06:15:00,-512351923.10364753,-98787261.62900569,-30655459.884502083,-4239.441664541298,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578075,-98879338.55047789,-30606290.789017983,19944.112704954936,143182512.75670838
140,2018-08-05 06:45:00,-507601019.57760656,-98806831.81095023,-30642717.81843232,23439.625404137045,168997676.65189004
141,2018-08-05 07:00:00,-425943757.51443547,-103542127.73299472,-28219405.981835615,-5651.837191691369,209753893.4314438
142,2018-08-05 07:15:00,-389639705.886956,-98154439.71450207,-30994145.85112956,-5779.589997159179,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291114,-97988026.40127228,-31082795.174968716,-6516.085270929879,271534636.335483
144,2018-08-05 07:45:00,-334835990.5191037,-97937363.83168302,-31111695.398968678,-7045.012809489072,295376242.5023397
145,2018-08-05 08:00:00,-397896601.886965,-102903781.0737966,-28550706.30808483,48361.67573954766,307257311.8720552
146,2018-08-05 08:15:00,-381350802.4311668,-97494909.36837542,-31334207.766477924,54790.598653760135,327937205.3054108
