,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
171,2018-08-05 17:00:00,211252113.2118024,-92743049.54221597,-33841959.60761453,-17073.22929683298,8407.511615889825,808218929.1582407
172,2018-08-05 18:15:00,-292247454.3728898,-88680584.53506036,-35876939.6087566,-2247.6708484309524,5797.8776676193365,336627916.8060958
173,2018-08-05 18:30:00,-318915198.1135532,-88701772.09028605,-35863168.572234206,-5524.351886328638,5704.806159610435,309744156.78566235
174,2018-08-05 18:45:00,-327949598.08128196,-88241352.47802293,-36098982.00411624,-3470.176079852555,4256.752548554596,301016911.20595044
175,2018-08-05 19:00:00,-313347755.68732816,-93064507.20331326,-33620065.02173552,-5356.404096016983,4657.341340177113,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626599,-87383911.16752933,-36579077.77902075,36423.670203472626,-6097.436848454838,651915188.0454321
177,2018-08-05 20:45:00,-50671483.20596192,-87141602.23982817,-36697644.0408511,15247.975465820404,1688.019597640848,595019860.7524962
178,2018-08-05 21:00:00,-42013516.187716834,-92326681.61561361,-34031951.91863469,14904.297156625173,1388.3381610380843,604035769.4652275
179,2018-08-05 22:15:00,171037590.08851355,-85864638.25469476,-37378276.002122514,24185.943281827967,2339.7392451743845,819509160.8643341
180,2018-08-05 22:30:00,176662013.05239558,-85870743.58475202,-37375741.568856336,27115.343883020727,1603.4208955311183,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732754,-85737096.40258838,-37441769.65604719,24213.137650415923,2068.345308712851,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187388,-91207210.0058308,-34607142.07791276,26891.68332759487,-1653.0236426877154,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122325,-85853975.40715589,-37353533.437810965,19179.997914827378,-391.7258832194829,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583467,-90845980.24700925,-34788322.73945898,-23972.154613066057,3732.33121741394,510940683.7579179
185,2018-08-06 00:15:00,-162180035.58957994,-86599520.05123551,-36964418.39091284,-19083.819284581452,3538.725683580079,445370744.2304751
186,2018-08-06 00:30:00,-286973150.352648,-87282806.17508958,-36599550.46988101,-2414.6075926148824,8830.206729490223,329511061.26059234
187,2018-08-06 00:45:00,-348983128.18572056,-87683848.97693606,-36386615.81308234,-14435.80137033962,2914.939465846216,271826856.0050116
188,2018-08-06 01:00:00,-396450413.06682897,-93235184.486168,-33526510.649927422,-15509.799038433766,3029.1128015214913,227513075.2757304
189,2018-08-06 01:15:00,-445615526.18917274,-88603813.33160752,-35903068.79386908,-14217.59330823044,2834.824713573776,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288237,-88630094.91818522,-35885367.296789,-11562.351056694326,2183.281026733539,144937278.93743765
