,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
262,2018-08-07 03:15:00,-514233165.7291772,-95479954.93784574,-32413417.19003248,119916143.71178348
263,2018-08-07 03:30:00,-533279996.7558579,-96025453.49094586,-32130819.127378646,101393408.35006955
264,2018-08-07 03:45:00,-562770372.5859072,-96229747.59881076,-32022572.17230482,81992739.42335217
265,2018-08-07 04:45:00,-572432236.6583428,-96546176.59519124,-31909683.55389915,64509428.62500864
266,2018-08-07 05:00:00,-572687757.528461,-101517032.6770833,-29353203.855344128,64440450.12383721
267,2018-08-07 05:15:00,-566909828.646778,-96280883.53751388,-32046716.702006403,70356553.28684391
268,2018-08-07 06:15:00,-512626799.979383,-95989645.77656877,-32202351.99633815,120960301.44215544
269,2018-08-07 06:30:00,-493182715.5796219,-95921063.34214984,-32239719.75955348,138016070.76306918
270,2018-08-07 07:15:00,-416368920.5936057,-95261776.30765325,-32587067.823212616,208470502.68834317
271,2018-08-07 07:30:00,-387632774.36049086,-94807832.7032658,-32823625.135876693,236625280.85591397
272,2018-08-07 08:45:00,-212374445.5884774,-93530929.82032691,-33499222.87650004,399118883.1906412
273,2018-08-07 09:00:00,-184456056.5372682,-98703219.54772253,-30842187.5022023,424827753.5514567
274,2018-08-07 09:15:00,-142461984.91568792,-93080005.34567688,-33738667.995558664,463636751.20545214
275,2018-08-07 09:30:00,-100815294.0527466,-92724680.35764994,-33925898.97148978,502285348.0635015
276,2018-08-07 09:45:00,-58412930.91617907,-92161217.97271523,-34220254.012686744,540595004.3534383
277,2018-08-07 10:30:00,55866078.09338077,-90513111.73033942,-35080181.65647021,645913011.4946284
278,2018-08-07 10:45:00,89832194.14033224,-90287603.1558602,-35199819.12404719,681256878.3516228
