,CreationTime,principal component 1,principal component 2,InBandwidth
254,2018-08-07 01:15:00,-300474235.6873833,-94021576.75265406,313387036.80249816
255,2018-08-07 01:30:00,-346377332.9241456,-94744681.56178984,269407243.7269347
256,2018-08-07 01:45:00,-385409446.7086232,-95043184.65345274,235252985.47738785
257,2018-08-07 02:00:00,-420300305.5367172,-100216065.81733456,201848539.50952828
258,2018-08-07 02:15:00,-438404843.32893497,-100085116.67939115,184295680.60557565
259,2018-08-07 02:30:00,-458771592.22389144,-95246146.69677666,166538091.21967116
260,2018-08-07 02:45:00,-480904458.31227946,-95336523.13334918,147168771.07716367
261,2018-08-07 03:00:00,-493789044.63633925,-105309074.00001097,136505775.29323602
262,2018-08-07 03:15:00,-514233165.7291765,-95479954.93784593,119916143.71178348
263,2018-08-07 03:30:00,-533279996.7558572,-96025453.49094601,101393408.35006955
264,2018-08-07 03:45:00,-562770372.5859065,-96229747.59881091,81992739.42335217
265,2018-08-07 04:45:00,-572432236.6583421,-96546176.5951914,64509428.62500864
266,2018-08-07 05:00:00,-572687757.5284599,-101517032.67708343,64440450.12383721
267,2018-08-07 05:15:00,-566909828.6467773,-96280883.53751405,70356553.28684391
268,2018-08-07 06:15:00,-512626799.9793826,-95989645.77656889,120960301.44215544
269,2018-08-07 06:30:00,-493182715.5796212,-95921063.34214999,138016070.76306918
270,2018-08-07 07:15:00,-416368920.59360504,-95261776.3076534,208470502.68834317
271,2018-08-07 07:30:00,-387632774.36049056,-94807832.70326595,236625280.85591397
272,2018-08-07 08:45:00,-212374445.5884773,-93530929.82032706,399118883.1906412
273,2018-08-07 09:00:00,-184456056.53726807,-98703219.54772268,424827753.5514567
274,2018-08-07 09:15:00,-142461984.9156876,-93080005.34567703,463636751.20545214
275,2018-08-07 09:30:00,-100815294.05274712,-92724680.35765009,502285348.0635015
276,2018-08-07 09:45:00,-58412930.916179165,-92161217.97271533,540595004.3534383
277,2018-08-07 10:30:00,55866078.09338053,-90513111.73033956,645913011.4946284
278,2018-08-07 10:45:00,89832194.14033164,-90287603.15586033,681256878.3516228
279,2018-08-07 11:00:00,119438026.34897038,-97523259.22884147,705201594.8762299
280,2018-08-07 11:15:00,147228379.80564752,-97287987.17761524,730313822.9390641
281,2018-08-07 11:30:00,171175619.887004,-92363726.89276874,755588719.1962392
282,2018-08-08 14:00:00,256094826.3820932,-92303583.22562423,827657874.0589049
283,2018-08-08 14:15:00,259112412.54525262,-103232557.96452774,832836554.8413237
284,2018-08-08 14:30:00,292692881.47866255,-103751170.81088851,864060400.330703
285,2018-08-08 14:45:00,37234850.948364235,-97416842.98571211,778759319.1020104
286,2018-08-08 15:00:00,54113972.70078076,-119217596.67512543,874760758.2636088
287,2018-08-08 15:15:00,67406376.23209377,-128696071.14616954,802181115.4657031
