,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
172,2018-08-05 18:15:00,-292247454.3728899,-88680584.53506054,-35876939.60875661,-2247.670848431053,336627916.8060958
173,2018-08-05 18:30:00,-318915198.11355275,-88701772.09028621,-35863168.572234206,-5524.3518863287645,309744156.78566235
174,2018-08-05 18:45:00,-327949598.08128244,-88241352.47802313,-36098982.004116245,-3470.176079852307,301016911.20595044
175,2018-08-05 19:00:00,-313347755.6873285,-93064507.20331345,-33620065.02173553,-5356.40409601691,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626689,-87383911.1675295,-36579077.77902075,36423.67020347252,651915188.0454321
177,2018-08-05 20:45:00,-50671483.20596199,-87141602.23982833,-36697644.040851116,15247.975465820347,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771687,-92326681.61561376,-34031951.91863469,14904.297156625144,604035769.4652275
179,2018-08-05 22:15:00,171037590.0885133,-85864638.25469486,-37378276.00212251,24185.94328182793,819509160.8643341
180,2018-08-05 22:30:00,176662013.05239582,-85870743.58475216,-37375741.568856336,27115.34388302064,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732733,-85737096.40258852,-37441769.6560472,24213.137650415974,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187408,-91207210.00583096,-34607142.07791277,26891.683327594837,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122344,-85853975.40715602,-37353533.43781097,19179.997914827323,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583458,-90845980.24700941,-34788322.739459,-23972.154613066094,510940683.7579179
185,2018-08-06 00:15:00,-162180035.5895803,-86599520.05123569,-36964418.39091285,-19083.8192845815,445370744.2304751
186,2018-08-06 00:30:00,-286973150.3526481,-87282806.17508975,-36599550.46988103,-2414.6075926149874,329511061.26059234
187,2018-08-06 00:45:00,-348983128.185721,-87683848.97693619,-36386615.81308234,-14435.801370339641,271826856.0050116
188,2018-08-06 01:00:00,-396450413.0668295,-93235184.48616816,-33526510.649927434,-15509.799038433699,227513075.2757304
189,2018-08-06 01:15:00,-445615526.18917286,-88603813.3316077,-35903068.79386909,-14217.593308230353,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288238,-88630094.91818537,-35885367.29678899,-11562.351056694375,144937278.93743765
191,2018-08-06 01:45:00,-507095120.29235035,-88978384.20320602,-35703800.869825885,-11304.300536488485,123272767.19244829
192,2018-08-06 03:15:00,-576507384.654614,-89805355.70274337,-35271013.68916999,-9638.79530587896,58752441.4232542
193,2018-08-06 03:30:00,-583963190.270697,-89974855.52642481,-35183037.512115076,-8483.414541950066,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283427,-90158223.53770769,-35088853.03412587,-8381.027548262171,53681575.77668536
195,2018-08-06 04:00:00,-581908704.5747182,-95151239.18881625,-32521106.2811185,-11179.533019955468,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804996,-90311530.24597505,-35064165.641480796,-10371.475336795274,53759365.69499695
197,2018-08-06 04:30:00,-564360816.385934,-90267433.20110947,-35088752.84115051,-12383.527511727052,69679864.92706501
198,2018-08-06 04:45:00,-535858507.9619416,-90130999.8080392,-35161992.41092284,-12309.38833861567,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105837,-95131363.18357572,-32590148.037850562,-12682.769445708785,95122123.5682927
200,2018-08-06 05:15:00,-533281473.511548,-90114516.09222223,-35170747.418638825,-11709.06828687819,99271948.53245254
201,2018-08-06 05:30:00,-525799152.6912399,-89773910.13545899,-35346724.48977968,-13379.783617893036,104907503.88309838
202,2018-08-06 05:45:00,-513131541.8019072,-89681971.67640685,-35395373.62117754,-14170.39177466821,116938243.72269176
203,2018-08-06 06:45:00,-500375931.8098371,-88900623.60915597,-35798587.34538147,-14156.359867386736,131538570.87872083
204,2018-08-06 07:15:00,-476487077.19909126,-88644892.56678768,-35932683.485073596,-16151.805683184684,152407807.59486127
205,2018-08-06 07:30:00,-471222625.44039917,-88360120.67692463,-36079705.51173696,-14779.615496727223,157350189.63991398
206,2018-08-06 07:45:00,-456506930.8591216,-88258046.95624492,-36133788.36425724,-17187.225137358044,168899625.63211212
207,2018-08-06 08:00:00,-430971746.0925025,-92797393.31308912,-33802008.78967752,-16580.42398424653,194634961.0539269
208,2018-08-06 08:15:00,-403709873.9872959,-87648556.36037108,-36452935.01230628,-15959.774053605652,219671234.34114268
209,2018-08-06 08:30:00,-375474008.65115845,-87537939.50971258,-36512869.4240518,-18105.15591838907,245735488.8393736
210,2018-08-06 08:45:00,-357110216.96613777,-87265796.24649055,-36654808.25697861,-14047.881654487765,263523460.2360537
211,2018-08-06 09:00:00,-316737486.3149536,-91541786.44926396,-34460070.30914477,-15447.129788265062,302005783.2417074
212,2018-08-06 09:15:00,-260265151.25254726,-86154139.58012113,-37236963.25976037,-14397.860693534743,354024080.4887107
213,2018-08-06 09:30:00,-209649492.7029238,-85711064.49956389,-37470288.99063861,-12867.549841259604,399309503.6519384
214,2018-08-06 09:45:00,-146083024.0584172,-85014366.29740143,-37835447.05617472,-12368.922739611795,459744375.0935
215,2018-08-06 10:45:00,94679708.13538489,-85878222.70839731,-37417130.954739004,5508.867094583267,687266133.6471974
216,2018-08-06 11:00:00,112002579.30164425,-114559698.5545727,-22668454.40354443,-5857.5863876672265,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635858,-100933900.35133532,-29679002.584779244,-8961.435839039708,725772640.189312
218,2018-08-06 11:30:00,152292888.4181075,-100642706.20133905,-29823782.293733478,915.0703001353454,742016332.1513441
219,2018-08-06 11:45:00,182012881.11179414,-95983326.64981028,-32229614.080217656,-2692.06424022752,768552549.8000576
220,2018-08-06 12:00:00,215520763.95924726,-105915713.27300596,-27125118.37024082,-7805.450740975911,796912356.7907588
221,2018-08-06 12:15:00,219286039.4723515,-86377597.07248776,-37173738.56784743,22412.75639007659,799726603.980563
222,2018-08-06 12:30:00,236132860.27242362,-93619893.24325927,-33450938.05899933,-9104.310610709696,812746051.2429006
223,2018-08-06 12:45:00,221656071.23448068,-108350317.67525177,-25873692.21003455,-10481.844726725118,803578205.8756348
224,2018-08-06 13:00:00,228103846.55211878,-106447777.7034335,-26852841.915806115,-11258.201755617074,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971476,-86895211.14861177,-36906696.78136796,-1575.8800225547984,793727595.6666057
226,2018-08-06 13:30:00,204790987.74605694,-93813708.89767952,-33347882.289976254,-11639.633819299977,785657953.6803893
227,2018-08-06 13:45:00,206537619.73093453,-95434236.04968745,-32514651.35029933,-8314.415857958005,789880161.9889416
228,2018-08-06 15:15:00,352767749.9046427,-98133415.47822745,-31142265.59091592,-15180.075504719152,925223079.0889244
229,2018-08-06 15:30:00,388473282.089787,-129042901.78810546,-15249731.675112626,-26786.766531420566,957955674.8958392
230,2018-08-06 15:45:00,383333176.8143682,-114663205.54654388,-22644483.19423559,-15100.048252977436,955894405.8031082
231,2018-08-06 16:00:00,354008605.33609724,-119882580.60350332,-19957058.22567096,-17090.284755134886,930698134.0267627
232,2018-08-06 16:15:00,323415054.4848075,-98271969.25446042,-31067842.21916788,-10455.396903172863,899255129.4645295
233,2018-08-06 16:30:00,327819252.697201,-105535233.0630184,-27332886.255001236,45767.842143612324,981785721.5068717
234,2018-08-06 16:45:00,305168034.3888439,-105345187.87676802,-27428181.118580226,47399.42864100801,958540613.3263812
235,2018-08-06 17:00:00,291399462.6322,-110752167.94554274,-24645952.990101792,38469.49119652305,945510051.8248855
236,2018-08-06 17:15:00,252924921.72407967,-91082881.28424895,-34757488.48924006,39450.74203317101,904978553.207942
